Site,BeautifulSoup,Test
6xtube,True,True
85po,True,True
91porna,True,True
aagmaal,True,True
aagmaalpro,True,True
absoluporn,True,True
allclassic,True,True
amateurtv,False,True
analdin,True,True
animeidhentai,True,True
anybunny,True,True
anysex,True,True
archivebate,True,True
ask4porn,True,True
avple,True,True
awmnet,True,True
beeg,False,True
beemtube,True,True
blendporn,True,True
bongacams,False,True
cam4,False,True
camsoda,False,True
camwhoresbay,True,True
celebsroulette,True,True
chaturbate,True,True
cloudbate,True,True
cumlouder,True,True
drtuber,True,True
eporner,True,True
erogarga,True,True
erome,True,True
eroticage,True,True
eroticmv,True,True
familypornhd,True,True
foxnxx,True,True
fpoxxx,True,True
freeomovie,True,True
freepornvideos,True,True
freeuseporn,True,True
freshporno,True,True
fullporner,True,True
fullxcinema,True,True
fyxxr,True,True
hanime,False,True
hdporn,True,True
hdporn92,True,True
heavyfetish,True,True
heavyr,True,True
hentai-moon,True,True
hentaidude,True,True
hentaihavenco,True,True
hentaistream,True,True
heroero,True,True
hitprn,True,True
hobbyporn,True,True
homemoviestube,True,True
hornyfap,True,True
hotleak,True,True
hpjav,True,True
hqporner,True,True
hypnotube,True,True
japteenx,True,True
javbangers,True,True
javgg,True,True
javguru,True,True
javhdporn,True,True
javmoe,True,True
javseen,True,True
jizzbunker,True,True
josporn,True,True
justfullporn,True,True
justporn,True,True
kissjav,True,True
lemoncams,False,True
livecamrips,True,True
longvideos,True,True
luxuretv,True,True
mangoporn,True,True
missav,True,True
motherless,True,True
mrsexe,True,True
myfreecams,True,True
naked,True,True
naughtyblog,True,True
neporn,True,True
netfapx,True,True
netflav,True,True
netflixporno,True,True
nltubes,True,True
nonktube,True,True
noodlemagazine,True,True
notfans,True,True
okxxx,True,True
paradisehill,True,True
peachurnet,True,True
peekvids,True,True
perverzija,True,True
pimpbunny,True,True
playhdporn,True,True
playvids,True,True
pmvhaven,False,True
porn4k,True,True
porndig,True,True
porndish,True,True
pornditt,True,True
porndoe,True,True
pornez,True,True
porngo,True,True
pornhat,True,True
pornhd3x,True,True
pornhoarder,True,True
pornhub,True,True
pornkai,True,True
pornmz,True,True
porno1hu,True,True
porno365,True,True
pornobae,True,True
pornone,True,True
pornroom,True,True
porntn,True,True
porntrex,True,True
pornxp,True,True
premiumporn,True,True
reallifecam,True,True
redtube,True,True
rule34video,True,True
seaporn,True,True
sextb,True,True
sexyporn,True,True
someporn,True,True
spankbang,True,True
speedporn,True,True
streamate,True,True
stripchat,False,True
sunporno,True,True
superporn,True,True
supjav,True,True
sxyprn,True,True
taboofantazy,True,True
tabootube,True,True
terebon,True,True
thepornarea,True,True
theyarehuge,True,True
thothub,True,True
tnaflix,True,True
tokyomotion,True,True
trannyteca,True,True
trendyporn,True,True
tube8,True,True
tubxporn,True,True
txxx,False,True
uflash,True,True
vaginanl,True,True
vipporns,True,True
viralvideosporno,True,True
watcherotic,True,True
watchmdh,True,True
watchporn,True,True
whereismyporn,True,True
whoreshub,True,True
xfreehd,True,True
xhamster,True,True
xmegadrive,True,True
xmoviesforyou,True,True
xnxx,True,True
xozilla,True,True
xsharings,True,True
xtheatre,True,True
xvideos,True,True
xxdbx,True,True
xxthots,True,True
xxxtube,True,True
yespornvip,True,True
youcrazyx,True,True
youjizz,True,True
youporn,True,True
yourlesbians,True,True
yrprno,True,True
